"plec","edukacja","wiek","wojewodztwo","podregion66","waga","rok"
"mężczyzna","podstawowe i niższe","45-59 lat","Podkarpackie","PRZEMYSKI",1.6483244391,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Podkarpackie","RZESZOWSKI",1.59440728455,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Podkarpackie","TARNOBRZESKI",2.79,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Podlaskie","BIAŁOSTOCKI",1.437234555,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Podlaskie","ŁOMŻYŃSKI",6.51,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Podlaskie","SUWALSKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Podlaskie",NA,0.507234555,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Pomorskie","GDAŃSKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Pomorskie","SŁUPSKI",0.8735706225,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Pomorskie","STAROGARDZKI",3.677732320725,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Pomorskie","TRÓJMIEJSKI",2.79,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Śląskie","BIELSKI",1.90964416725,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Śląskie","CZĘSTOCHOWSKI",2.714714175,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Śląskie","SOSNOWIECKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Śląskie","TYSKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Świętokrzyskie","KIELECKI",6.53,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Świętokrzyskie","SANDOMIERSKO-JĘDRZEJOWSKI",7.65558346525,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Warmińsko-Mazurskie","ELBLĄSKI",3.3027305295,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Warmińsko-Mazurskie","EŁCKI",4.926091053,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Warmińsko-Mazurskie","OLSZTYŃSKI",2.0966394765,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Wielkopolskie","KALISKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Wielkopolskie","KONIŃSKI",2.23659864075,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Wielkopolskie","LESZCZYŃSKI",1.247380875,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Wielkopolskie","POZNAŃSKI",2.151120225,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Wielkopolskie","M. POZNAŃ",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Zachodniopomorskie","KOSZALIŃSKI",5.24761381625,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Zachodniopomorskie","STARGARDZKI",4.218984875,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Zachodniopomorskie","SZCZECIŃSKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","45-59 lat","Zachodniopomorskie","M.SZCZECIN",1.50761381625,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Dolnośląskie","JELENIOGÓRSKI",1.206091053,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Dolnośląskie","WROCŁAWSKI",2.99954273,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Dolnośląskie","WAŁBRZYSKI",2.85,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Dolnośląskie","M.WROCŁAW",0.95,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",2.31636182,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",0.68318091,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Lubelskie","BIALSKI",0.896674944375,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Lubelskie","PUŁAWSKI",2.74334988875,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Lubelskie","LUBELSKI",1.846674944375,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Lubelskie","CHEŁMSKO-ZAMOJSKI",1.846674944375,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Lubuskie","GORZOWSKI",0.384289261875,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Lubuskie","ZIELONOGÓRSKI",2.85,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Łódzkie","ŁÓDZKI",0,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Łódzkie","PIOTRKOWSKI",3.812072558125,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Łódzkie","SIERADZKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Łódzkie","SKIERNIEWICKI",1.932072558125,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Łódzkie","M. ŁÓDŹ",2.91414511625,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Małopolskie","KRAKOWSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Małopolskie","OŚWIĘCIMSKI",2.13494034375,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Małopolskie","TARNOWSKI",3.156344846875,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Małopolskie","M. KRAKÓW",0.95,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Mazowieckie","CIECHANOWSKO-PŁOCKI",0.93,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Mazowieckie","WARSZAWSKI   ZACHODNI",1.707952275,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",2.010151755,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Mazowieckie","RADOMSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Mazowieckie","M.WARSZAWA",2.657952275,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Mazowieckie","WARSZAWSKI WSCHODNI",1.9,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Opolskie","NYSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Opolskie","OPOLSKI",1.37698806875,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Podkarpackie","KROŚNIEŃSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Podkarpackie","PRZEMYSKI",1.9,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Podkarpackie","RZESZOWSKI",1.9,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Podkarpackie","TARNOBRZESKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Podlaskie","BIAŁOSTOCKI",0.54274097385,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Podlaskie","ŁOMŻYŃSKI",2.9854819477,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Podlaskie","SUWALSKI",3.31114711425,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Pomorskie",NA,1.58839561575,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Śląskie","CZĘSTOCHOWSKI",1.62255466125,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Świętokrzyskie","KIELECKI",0.93937375125,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Świętokrzyskie","SANDOMIERSKO-JĘDRZEJOWSKI",0,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Warmińsko-Mazurskie","ELBLĄSKI",0,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Warmińsko-Mazurskie","OLSZTYŃSKI",1.115431209,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Wielkopolskie","KALISKI",2.06016897875,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Wielkopolskie","POZNAŃSKI",0,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Zachodniopomorskie","KOSZALIŃSKI",2.85,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Zachodniopomorskie","STARGARDZKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","60-64 lata","Zachodniopomorskie","M.SZCZECIN",0.640482103125,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Dolnośląskie","JELENIOGÓRSKI",3.52958788,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",4.38958788,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Dolnośląskie","WROCŁAWSKI",4.676496552,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Dolnośląskie","WAŁBRZYSKI",6.46019816,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Dolnośląskie","M.WROCŁAW",2.3005112,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",9.105562128,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",4.031613248,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",4.998005168,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Lubelskie","BIALSKI",4.16,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Lubelskie","PUŁAWSKI",3.12,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Lubelskie","LUBELSKI",5.3888419,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",13.111361679,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Lubuskie","GORZOWSKI",2.936980961875,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Lubuskie","ZIELONOGÓRSKI",2.08,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Łódzkie","ŁÓDZKI",1.04,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Łódzkie","PIOTRKOWSKI",4.3279899,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Łódzkie","SIERADZKI",3.783265759,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Łódzkie","SKIERNIEWICKI",4.419188385,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Łódzkie","M. ŁÓDŹ",2.911255659,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Łódzkie",NA,1.389188385,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Małopolskie","KRAKOWSKI",2.08,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Małopolskie","NOWOSĄDECKI",6.086052375,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Małopolskie","OŚWIĘCIMSKI",4.4013632,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Małopolskie","TARNOWSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Małopolskie","M. KRAKÓW",3.01997475,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Małopolskie",NA,1.851375825,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",1.707952275,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Mazowieckie","WARSZAWSKI   ZACHODNI",6.9328116,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",9.38038244,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Mazowieckie","RADOMSKI",4.07,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Mazowieckie","M.WARSZAWA",2.08,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Mazowieckie","WARSZAWSKI WSCHODNI",8.00440264,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Opolskie","NYSKI",7.36528657875,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Opolskie","OPOLSKI",3.63399495,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Podkarpackie","KROŚNIEŃSKI",2.030551718,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Podkarpackie","PRZEMYSKI",4.16,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Podkarpackie","RZESZOWSKI",4.922452756,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Podkarpackie","TARNOBRZESKI",1.2145025412,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Podkarpackie",NA,2.2050542592,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Podlaskie","BIAŁOSTOCKI",6.3539680344,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Podlaskie","ŁOMŻYŃSKI",6.514004666,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Podlaskie","SUWALSKI",3.58114711425,"2000"
"mężczyzna","podstawowe i niższe","65+ lat","Pomorskie","SŁUPSKI",5.283430607,"2000"
